pants_description,Avg_Discount
"Men Baggy Mid Rise Jeans",1889.00
"Pure Cotton Regular Fit Jeans",1889.00
"Men Solid Stretchable Jeans",1886.20
"Mid Rise Heavy Fade Jeans",1884.50
"Mid-Rise Slouchy Fit Jeans",1884.00
"Heavy Fade Mid-Rise Jeans",1884.00
"Men Slim Fit Light Fade Jeans",1880.68
"Men Urban Slim Fit Jeans",1877.75
"Baggy Jeans",1876.80
"Pure Cotton Tapered Fit Jeans",1876.33
"Men Original Jeans",1871.00
"Heavy Fade Coloured Jeans",1871.00
"Straight Fit Low Rise Jeans",1871.00
"Plus Size Men Heavy Fade Jeans",1867.25
"Men Slim Mid Rise Jeans",1862.33
"Men Plus Size Mid-Rise Jeans",1862.22
"Men  Mid-Rise Baggy Fit Jeans",1860.00
"Men Slim Fit Mid-Rise Jeans",1859.12
"Men Brandon Slim tapered Fit",1859.00
"Men Oversized Cargo Joggers",1859.00
"Men Super Slim Fit  Jeans",1859.00
"Men Baggy High-Rise Jeans",1856.50
"Mid-Rise Wide Leg Jeans",1852.00
"Men Slim Fit Low-Rise Jeans",1851.97
"Mid-Rise Heavy Fade Jogger",1851.00
"Men Distress Heavy Fade  Jeans",1851.00
"Men Tapered Regular Fit Jeans",1849.00
"Unisex Jeans",1849.00
"Men Low-Rise Skinny Fit  Jeans",1849.00
"Men Comfort Fit Low-Rise Jeans",1849.00
"Men Low-Rise Cotton Jeans",1848.66
"Low Distress Cotton Jeans",1847.00
"Cotton Solid Baggy Fit Jean",1847.00
"Men Baggy Fit Jean",1847.00
"Men Relaxed Tapered Fit Jeans",1845.38
"Men 512 Slim Fit Jeans",1844.40
"Heavy Fade Relaxed Fit Jeans",1844.00
"Men Holborne Fit Jeans",1842.80
"Blue Mid-Rise Slim Fit Jeans",1842.33
"Cargo Styles Jogger Jeans",1839.00
"Men Skinny Taper Fit Jeans",1839.00
"Men Skinny Fit Mid Rise Jeans",1836.09
"Men Comfort Slim Jeans",1832.33
"Men Cotton Skinny Fit Jeans",1832.17
